feature,stage1_importance,stage2_importance,total_importance
discharge_Home,0.028868308290839195,0.20485864579677582,0.233726954087615
total_visits,0.19706259667873383,0.006636462174355984,0.2036990588530898
number_diagnoses,0.10905273258686066,0.01771966554224491,0.12677239812910557
number_inpatient,0.07429290562868118,0.05132058635354042,0.1256134919822216
age,0.09044351428747177,0.017625020816922188,0.10806853510439396
time_in_hospital,0.07439804822206497,0.030660657212138176,0.10505870543420315
source_Emergency_Room,0.07632291316986084,0.02400301583111286,0.1003259290009737
num_lab_procedures,0.052329838275909424,0.03879055380821228,0.0911203920841217
num_medications,0.06972711533308029,0.014733988791704178,0.08446110412478447
diabetesMed,0.0790690928697586,0.0016995155019685626,0.08076860837172717
num_procedures,0.06840576231479645,0.007721393834799528,0.07612715614959598
discharge_Home_Health,0.0233407374471426,0.05198260024189949,0.07532333768904209
discharge_Rehab_Facility,0.012879811227321625,0.052973758429288864,0.06585356965661049
insulin_active,0.025950660929083824,0.031372398138046265,0.05732305906713009
metformin_active,0.05137211084365845,0.005760860163718462,0.05713297100737691
has_circulatory,0.05335506051778793,0.0034765833988785744,0.05683164391666651
adm_type_Other,0.035543810576200485,0.01276407390832901,0.048307884484529495
has_diabetes,0.03947203978896141,0.007921364158391953,0.04739340394735336
A1Cresult_enc,0.038906827569007874,0.007056992035359144,0.04596381960436702
num_active_meds,0.016878396272659302,0.02185194380581379,0.03873034007847309
